x Xe ne tau dtaudx ddtauddx g dgdx ddgddx 
-10.8779 1 3.74864e+13 11279.2 -12311.9 12683.2 0 0 0 
-10.8768 1 3.73629e+13 11265.7 -12297.9 12669.2 0 0 0 
-10.8757 1 3.72398e+13 11252.1 -12284 12655.2 0 0 0 
-10.8746 1 3.71171e+13 11238.6 -12270.1 12641.3 0 0 0 
-10.8735 1 3.69948e+13 11225.2 -12256.2 12627.3 0 0 0 
-10.8724 1 3.68729e+13 11211.7 -12242.3 12613.4 0 0 0 
-10.8713 1 3.67514e+13 11198.2 -12228.4 12599.5 0 0 0 
-10.8702 1 3.66303e+13 11184.8 -12214.6 12585.6 0 0 0 
-10.8691 1 3.65096e+13 11171.3 -12200.8 12571.8 0 0 0 
-10.868 1 3.63893e+13 11157.9 -12186.9 12557.9 0 0 0 
-10.8669 1 3.62694e+13 11144.5 -12173.1 12544 0 0 0 
-10.8658 1 3.61499e+13 11131.1 -12159.3 12530.2 0 0 0 
-10.8647 1 3.60308e+13 11117.8 -12145.6 12516.4 0 0 0 
-10.8636 1 3.59121e+13 11104.4 -12131.8 12502.6 0 0 0 
-10.8625 1 3.57937e+13 11091.1 -12118 12488.8 0 0 0 
-10.8614 1 3.56758e+13 11077.8 -12104.3 12475.1 0 0 0 
-10.8603 1 3.55583e+13 11064.4 -12090.6 12461.3 0 0 0 
-10.8592 1 3.54411e+13 11051.2 -12076.9 12447.6 0 0 0 
-10.8581 1 3.53243e+13 11037.9 -12063.2 12433.8 0 0 0 
-10.857 1 3.52079e+13 11024.6 -12049.5 12420.1 0 0 0 
-10.8559 1 3.50919e+13 11011.4 -12035.9 12406.4 0 0 0 
-10.8548 1 3.49763e+13 10998.1 -12022.2 12392.8 0 0 0 
-10.8537 1 3.48611e+13 10984.9 -12008.6 12379.1 0 0 0 
-10.8526 1 3.47462e+13 10971.7 -11995 12365.4 0 0 0 
-10.8515 1 3.46317e+13 10958.5 -11981.4 12351.8 0 0 0 
-10.8504 1 3.45176e+13 10945.3 -11967.8 12338.2 0 0 0 
-10.8493 1 3.44039e+13 10932.2 -11954.3 12324.6 0 0 0 
-10.8482 1 3.42905e+13 10919 -11940.7 12311 0 0 0 
-10.8471 1 3.41775e+13 10905.9 -11927.2 12297.4 0 0 0 
-10.846 1 3.40649e+13 10892.8 -11913.7 12283.9 0 0 0 
-10.8449 1 3.39527e+13 10879.7 -11900.2 12270.3 0 0 0 
-10.8438 1 3.38408e+13 10866.6 -11886.7 12256.8 0 0 0 
-10.8427 1 3.37293e+13 10853.6 -11873.2 12243.3 0 0 0 
-10.8416 1 3.36182e+13 10840.5 -11859.7 12229.8 0 0 0 
-10.8405 1 3.35074e+13 10827.5 -11846.3 12216.3 0 0 0 
-10.8394 1 3.3397e+13 10814.4 -11832.8 12202.8 0 0 0 
-10.8383 1 3.3287e+13 10801.4 -11819.4 12189.4 0 0 0 
-10.8372 1 3.31773e+13 10788.4 -11806 12175.9 0 0 0 
-10.8361 1 3.3068e+13 10775.4 -11792.6 12162.5 0 0 0 
-10.835 1 3.2959e+13 10762.5 -11779.3 12149.1 0 0 0 
-10.8339 1 3.28504e+13 10749.5 -11765.9 12135.7 0 0 0 
-10.8328 1 3.27422e+13 10736.6 -11752.6 12122.3 0 0 0 
-10.8317 1 3.26343e+13 10723.7 -11739.2 12108.9 0 0 0 
-10.8306 1 3.25268e+13 10710.8 -11725.9 12095.6 0 0 0 
-10.8295 1 3.24196e+13 10697.9 -11712.6 12082.3 0 0 0 
-10.8284 1 3.23128e+13 10685 -11699.3 12068.9 0 0 0 
-10.8273 1 3.22063e+13 10672.1 -11686.1 12055.6 0 0 0 
-10.8262 1 3.21002e+13 10659.3 -11672.8 12042.3 0 0 0 
-10.8251 1 3.19944e+13 10646.4 -11659.6 12029.1 0 0 0 
-10.824 1 3.1889e+13 10633.6 -11646.3 12015.8 0 0 0 
-10.8229 1 3.17839e+13 10620.8 -11633.1 12002.5 0 0 0 
-10.8218 1 3.16792e+13 10608 -11619.9 11989.3 0 0 0 
-10.8207 1 3.15748e+13 10595.3 -11606.8 11976.1 0 0 0 
-10.8196 1 3.14708e+13 10582.5 -11593.6 11962.9 0 0 0 
-10.8185 1 3.13671e+13 10569.7 -11580.4 11949.7 0 0 0 
-10.8174 1 3.12638e+13 10557 -11567.3 11936.5 0 0 0 
-10.8163 1 3.11607e+13 10544.3 -11554.2 11923.3 0 0 0 
-10.8152 1 3.10581e+13 10531.6 -11541.1 11910.2 0 0 0 
-10.8141 1 3.09557e+13 10518.9 -11528 11897.1 0 0 0 
-10.813 1 3.08537e+13 10506.2 -11514.9 11883.9 0 0 0 
-10.8119 1 3.07521e+13 10493.6 -11501.8 11870.8 0 0 0 
-10.8108 1 3.06508e+13 10480.9 -11488.8 11857.7 0 0 0 
-10.8097 1 3.05498e+13 10468.3 -11475.7 11844.7 0 0 0 
-10.8086 1 3.04491e+13 10455.7 -11462.7 11831.6 0 0 0 
-10.8075 1 3.03488e+13 10443.1 -11449.7 11818.6 0 0 0 
-10.8064 1 3.02488e+13 10430.5 -11436.7 11805.5 0 0 0 
