z dL
5.15191 1.57904e+27 
5.14945 1.57813e+27 
5.14699 1.57721e+27 
5.14454 1.5763e+27 
5.14208 1.57539e+27 
5.13962 1.57448e+27 
5.13716 1.57357e+27 
5.13471 1.57266e+27 
5.13226 1.57176e+27 
5.1298 1.57085e+27 
5.12735 1.56994e+27 
5.1249 1.56903e+27 
5.12245 1.56812e+27 
5.12 1.56722e+27 
5.11755 1.56631e+27 
5.11511 1.56541e+27 
5.11266 1.5645e+27 
5.11022 1.5636e+27 
5.10777 1.56269e+27 
5.10533 1.56179e+27 
5.10289 1.56088e+27 
5.10044 1.55998e+27 
5.098 1.55908e+27 
5.09557 1.55818e+27 
5.09313 1.55727e+27 
5.09069 1.55637e+27 
5.08825 1.55547e+27 
5.08582 1.55457e+27 
5.08338 1.55367e+27 
5.08095 1.55277e+27 
5.07852 1.55187e+27 
5.07609 1.55097e+27 
5.07366 1.55008e+27 
5.07123 1.54918e+27 
5.0688 1.54828e+27 
5.06637 1.54738e+27 
5.06394 1.54649e+27 
5.06152 1.54559e+27 
5.05909 1.54469e+27 
5.05667 1.5438e+27 
5.05425 1.5429e+27 
5.05183 1.54201e+27 
5.04941 1.54112e+27 
5.04699 1.54022e+27 
5.04457 1.53933e+27 
5.04215 1.53844e+27 
5.03973 1.53754e+27 
5.03732 1.53665e+27 
5.0349 1.53576e+27 
5.03249 1.53487e+27 
5.03007 1.53398e+27 
5.02766 1.53309e+27 
5.02525 1.5322e+27 
5.02284 1.53131e+27 
5.02043 1.53042e+27 
5.01802 1.52953e+27 
5.01562 1.52864e+27 
5.01321 1.52776e+27 
5.01081 1.52687e+27 
5.0084 1.52598e+27 
5.006 1.52509e+27 
5.0036 1.52421e+27 
5.00119 1.52332e+27 
4.99879 1.52244e+27 
4.99639 1.52155e+27 
4.994 1.52067e+27 
4.9916 1.51979e+27 
4.9892 1.5189e+27 
4.98681 1.51802e+27 
4.98441 1.51714e+27 
4.98202 1.51625e+27 
4.97962 1.51537e+27 
4.97723 1.51449e+27 
4.97484 1.51361e+27 
4.97245 1.51273e+27 
4.97006 1.51185e+27 
4.96767 1.51097e+27 
4.96529 1.51009e+27 
4.9629 1.50921e+27 
4.96052 1.50833e+27 
4.95813 1.50746e+27 
4.95575 1.50658e+27 
4.95337 1.5057e+27 
4.95098 1.50482e+27 
4.9486 1.50395e+27 
4.94622 1.50307e+27 
4.94385 1.5022e+27 
4.94147 1.50132e+27 
4.93909 1.50045e+27 
4.93672 1.49957e+27 
4.93434 1.4987e+27 
4.93197 1.49783e+27 
4.9296 1.49695e+27 
4.92722 1.49608e+27 
4.92485 1.49521e+27 
4.92248 1.49434e+27 
4.92011 1.49346e+27 
4.91775 1.49259e+27 
4.91538 1.49172e+27 
4.91301 1.49085e+27 
4.91065 1.48998e+27 
4.90828 1.48911e+27 
4.90592 1.48825e+27 
4.90356 1.48738e+27 
4.9012 1.48651e+27 
4.89884 1.48564e+27 
4.89648 1.48477e+27 
4.89412 1.48391e+27 
4.89176 1.48304e+27 
4.8894 1.48218e+27 
4.88705 1.48131e+27 
4.88469 1.48045e+27 
4.88234 1.47958e+27 
4.87999 1.47872e+27 
4.87763 1.47785e+27 
4.87528 1.47699e+27 
4.87293 1.47613e+27 
4.87058 1.47526e+27 
4.86824 1.4744e+27 
4.86589 1.47354e+27 
4.86354 1.47268e+27 
4.8612 1.47182e+27 
4.85885 1.47096e+27 
4.85651 1.4701e+27 
4.85417 1.46924e+27 
4.85182 1.46838e+27 
4.84948 1.46752e+27 
4.84714 1.46666e+27 
4.8448 1.4658e+27 
4.84247 1.46495e+27 
4.84013 1.46409e+27 
4.83779 1.46323e+27 
4.83546 1.46238e+27 
4.83312 1.46152e+27 
4.83079 1.46066e+27 
4.82846 1.45981e+27 
4.82613 1.45895e+27 
4.8238 1.4581e+27 
4.82147 1.45725e+27 
4.81914 1.45639e+27 
4.81681 1.45554e+27 
4.81448 1.45469e+27 
4.81216 1.45383e+27 
4.80983 1.45298e+27 
4.80751 1.45213e+27 
4.80519 1.45128e+27 
4.80286 1.45043e+27 
4.80054 1.44958e+27 
4.79822 1.44873e+27 
4.7959 1.44788e+27 
4.79359 1.44703e+27 
4.79127 1.44618e+27 
4.78895 1.44533e+27 
4.78664 1.44449e+27 
4.78432 1.44364e+27 
4.78201 1.44279e+27 
4.77969 1.44195e+27 
4.77738 1.4411e+27 
4.77507 1.44025e+27 
4.77276 1.43941e+27 
4.77045 1.43856e+27 
4.76814 1.43772e+27 
4.76584 1.43687e+27 
4.76353 1.43603e+27 
4.76123 1.43519e+27 
4.75892 1.43434e+27 
4.75662 1.4335e+27 
4.75431 1.43266e+27 
4.75201 1.43182e+27 
4.74971 1.43098e+27 
4.74741 1.43014e+27 
4.74511 1.4293e+27 
4.74282 1.42846e+27 
4.74052 1.42762e+27 
4.73822 1.42678e+27 
4.73593 1.42594e+27 
4.73363 1.4251e+27 
4.73134 1.42426e+27 
4.72905 1.42342e+27 
4.72675 1.42259e+27 
4.72446 1.42175e+27 
4.72217 1.42091e+27 
4.71989 1.42008e+27 
