z dL
4.81216 1.41158e+27 
4.80983 1.41078e+27 
4.80751 1.40998e+27 
4.80519 1.40918e+27 
4.80286 1.40838e+27 
4.80054 1.40758e+27 
4.79822 1.40679e+27 
4.7959 1.40599e+27 
4.79359 1.40519e+27 
4.79127 1.40439e+27 
4.78895 1.4036e+27 
4.78664 1.4028e+27 
4.78432 1.40201e+27 
4.78201 1.40121e+27 
4.77969 1.40042e+27 
4.77738 1.39962e+27 
4.77507 1.39883e+27 
4.77276 1.39803e+27 
4.77045 1.39724e+27 
4.76814 1.39645e+27 
4.76584 1.39566e+27 
4.76353 1.39486e+27 
4.76123 1.39407e+27 
4.75892 1.39328e+27 
4.75662 1.39249e+27 
4.75431 1.3917e+27 
4.75201 1.39091e+27 
4.74971 1.39012e+27 
4.74741 1.38933e+27 
4.74511 1.38854e+27 
4.74282 1.38775e+27 
4.74052 1.38696e+27 
4.73822 1.38617e+27 
4.73593 1.38538e+27 
4.73363 1.3846e+27 
4.73134 1.38381e+27 
4.72905 1.38302e+27 
4.72675 1.38224e+27 
4.72446 1.38145e+27 
4.72217 1.38066e+27 
4.71989 1.37988e+27 
4.7176 1.37909e+27 
4.71531 1.37831e+27 
4.71302 1.37753e+27 
4.71074 1.37674e+27 
4.70845 1.37596e+27 
4.70617 1.37517e+27 
4.70389 1.37439e+27 
4.70161 1.37361e+27 
4.69933 1.37283e+27 
4.69705 1.37205e+27 
4.69477 1.37126e+27 
4.69249 1.37048e+27 
4.69021 1.3697e+27 
4.68794 1.36892e+27 
4.68566 1.36814e+27 
4.68339 1.36736e+27 
4.68111 1.36658e+27 
4.67884 1.3658e+27 
4.67657 1.36503e+27 
4.6743 1.36425e+27 
4.67203 1.36347e+27 
4.66976 1.36269e+27 
4.66749 1.36192e+27 
4.66523 1.36114e+27 
4.66296 1.36036e+27 
4.6607 1.35959e+27 
4.65843 1.35881e+27 
4.65617 1.35804e+27 
4.65391 1.35726e+27 
4.65164 1.35649e+27 
4.64938 1.35571e+27 
4.64712 1.35494e+27 
4.64486 1.35416e+27 
4.64261 1.35339e+27 
4.64035 1.35262e+27 
4.63809 1.35185e+27 
4.63584 1.35107e+27 
4.63358 1.3503e+27 
4.63133 1.34953e+27 
4.62908 1.34876e+27 
4.62683 1.34799e+27 
4.62458 1.34722e+27 
4.62233 1.34645e+27 
4.62008 1.34568e+27 
4.61783 1.34491e+27 
4.61558 1.34414e+27 
4.61334 1.34337e+27 
4.61109 1.34261e+27 
4.60885 1.34184e+27 
4.6066 1.34107e+27 
4.60436 1.3403e+27 
4.60212 1.33954e+27 
4.59988 1.33877e+27 
4.59764 1.338e+27 
4.5954 1.33724e+27 
4.59316 1.33647e+27 
4.59092 1.33571e+27 
4.58869 1.33494e+27 
4.58645 1.33418e+27 
4.58422 1.33342e+27 
4.58198 1.33265e+27 
4.57975 1.33189e+27 
4.57752 1.33113e+27 
4.57529 1.33036e+27 
4.57306 1.3296e+27 
4.57083 1.32884e+27 
4.5686 1.32808e+27 
4.56637 1.32732e+27 
4.56414 1.32656e+27 
4.56192 1.3258e+27 
4.55969 1.32504e+27 
4.55747 1.32428e+27 
4.55525 1.32352e+27 
4.55303 1.32276e+27 
4.5508 1.322e+27 
4.54858 1.32124e+27 
4.54636 1.32048e+27 
4.54415 1.31973e+27 
4.54193 1.31897e+27 
4.53971 1.31821e+27 
4.5375 1.31745e+27 
4.53528 1.3167e+27 
4.53307 1.31594e+27 
4.53085 1.31519e+27 
4.52864 1.31443e+27 
4.52643 1.31368e+27 
4.52422 1.31292e+27 
4.52201 1.31217e+27 
4.5198 1.31142e+27 
4.51759 1.31066e+27 
4.51539 1.30991e+27 
4.51318 1.30916e+27 
4.51097 1.3084e+27 
4.50877 1.30765e+27 
4.50657 1.3069e+27 
4.50436 1.30615e+27 
4.50216 1.3054e+27 
4.49996 1.30465e+27 
4.49776 1.3039e+27 
4.49556 1.30315e+27 
4.49336 1.3024e+27 
4.49117 1.30165e+27 
4.48897 1.3009e+27 
4.48677 1.30015e+27 
4.48458 1.2994e+27 
4.48239 1.29866e+27 
4.48019 1.29791e+27 
4.478 1.29716e+27 
4.47581 1.29641e+27 
4.47362 1.29567e+27 
4.47143 1.29492e+27 
4.46924 1.29418e+27 
4.46705 1.29343e+27 
4.46487 1.29269e+27 
4.46268 1.29194e+27 
4.4605 1.2912e+27 
4.45831 1.29045e+27 
4.45613 1.28971e+27 
4.45395 1.28897e+27 
4.45176 1.28822e+27 
4.44958 1.28748e+27 
4.4474 1.28674e+27 
4.44522 1.286e+27 
4.44305 1.28525e+27 
4.44087 1.28451e+27 
4.43869 1.28377e+27 
4.43652 1.28303e+27 
4.43434 1.28229e+27 
4.43217 1.28155e+27 
4.43 1.28081e+27 
4.42782 1.28007e+27 
4.42565 1.27933e+27 
4.42348 1.2786e+27 
4.42131 1.27786e+27 
4.41914 1.27712e+27 
4.41698 1.27638e+27 
4.41481 1.27565e+27 
4.41264 1.27491e+27 
4.41048 1.27417e+27 
4.40832 1.27344e+27 
4.40615 1.2727e+27 
4.40399 1.27196e+27 
4.40183 1.27123e+27 
4.39967 1.2705e+27 
4.39751 1.26976e+27 
4.39535 1.26903e+27 
4.39319 1.26829e+27 
4.39103 1.26756e+27 
4.38888 1.26683e+27 
4.38672 1.26609e+27 
4.38457 1.26536e+27 
4.38241 1.26463e+27 
4.38026 1.2639e+27 
4.37811 1.26317e+27 
4.37596 1.26244e+27 
4.37381 1.2617e+27 
4.37166 1.26097e+27 
4.36951 1.26024e+27 
4.36736 1.25952e+27 
4.36521 1.25879e+27 
4.36307 1.25806e+27 
4.36092 1.25733e+27 
4.35878 1.2566e+27 
4.35663 1.25587e+27 
4.35449 1.25514e+27 
4.35235 1.25442e+27 
4.35021 1.25369e+27 
4.34807 1.25296e+27 
4.34593 1.25224e+27 
4.34379 1.25151e+27 
4.34165 1.25079e+27 
4.33952 1.25006e+27 
4.33738 1.24934e+27 
4.33525 1.24861e+27 
4.33311 1.24789e+27 
4.33098 1.24716e+27 
4.32885 1.24644e+27 
4.32671 1.24572e+27 
4.32458 1.24499e+27 
4.32245 1.24427e+27 
4.32032 1.24355e+27 
4.3182 1.24283e+27 
4.31607 1.24211e+27 
4.31394 1.24138e+27 
4.31182 1.24066e+27 
4.30969 1.23994e+27 
4.30757 1.23922e+27 
4.30545 1.2385e+27 
4.30332 1.23778e+27 
4.3012 1.23706e+27 
4.29908 1.23634e+27 
4.29696 1.23563e+27 
4.29484 1.23491e+27 
4.29273 1.23419e+27 
4.29061 1.23347e+27 
4.28849 1.23276e+27 
4.28638 1.23204e+27 
4.28426 1.23132e+27 
4.28215 1.23061e+27 
4.28004 1.22989e+27 
4.27792 1.22917e+27 
4.27581 1.22846e+27 
4.2737 1.22774e+27 
4.27159 1.22703e+27 
4.26948 1.22632e+27 
4.26738 1.2256e+27 
4.26527 1.22489e+27 
4.26316 1.22418e+27 
4.26106 1.22346e+27 
4.25895 1.22275e+27 
4.25685 1.22204e+27 
4.25475 1.22133e+27 
4.25264 1.22061e+27 
4.25054 1.2199e+27 
4.24844 1.21919e+27 
4.24634 1.21848e+27 
4.24425 1.21777e+27 
4.24215 1.21706e+27 
4.24005 1.21635e+27 
4.23796 1.21564e+27 
4.23586 1.21493e+27 
4.23377 1.21423e+27 
4.23167 1.21352e+27 
4.22958 1.21281e+27 
4.22749 1.2121e+27 
4.2254 1.21139e+27 
4.22331 1.21069e+27 
4.22122 1.20998e+27 
4.21913 1.20927e+27 
4.21704 1.20857e+27 
4.21495 1.20786e+27 
4.21287 1.20716e+27 
4.21078 1.20645e+27 
4.2087 1.20575e+27 
4.20662 1.20504e+27 
4.20453 1.20434e+27 
4.20245 1.20364e+27 
4.20037 1.20293e+27 
4.19829 1.20223e+27 
4.19621 1.20153e+27 
4.19413 1.20083e+27 
4.19205 1.20012e+27 
4.18998 1.19942e+27 
4.1879 1.19872e+27 
4.18583 1.19802e+27 
4.18375 1.19732e+27 
4.18168 1.19662e+27 
4.17961 1.19592e+27 
4.17753 1.19522e+27 
4.17546 1.19452e+27 
4.17339 1.19382e+27 
4.17132 1.19312e+27 
4.16925 1.19242e+27 
4.16719 1.19172e+27 
4.16512 1.19103e+27 
4.16305 1.19033e+27 
4.16099 1.18963e+27 
4.15892 1.18894e+27 
4.15686 1.18824e+27 
